sku,brand,name,category,size,colour,material,pack_price,pack_size,quantity_variant_size_and_price,description_detailed,description_short,description_standard,meta_title,meta_description,certifications
CUP-DW-16-2,Planetware,Double Wall Takeaway Cup,Cups & Lids,8oz / 12oz / 16oz,,,54.68,500,,"The Planetware 8oz / 12oz / 16oz Double Wall Takeaway Cup. Double wall construction provides built-in insulation, eliminating the need for a separate cup sleeve. The outer wall stays cool and comfortable to hold while keeping drinks hot. Suitable for coffee, tea, hot chocolate, and specialty drinks. Both compostable and recyclable, giving multiple end-of-life options. Designed for coffee shops, cafés, offices, events, and catering.",Planetware 8oz / 12oz / 16oz Double Wall Takeaway Cup. Compostable and recyclable.,"Planetware 8oz / 12oz / 16oz Double Wall Takeaway Cup - double wall insulation - no sleeve needed. Comfortable to hold with hot drinks. Compostable and recyclable. Designed for coffee shops, cafés, offices, events, and catering.",Planetware Double Wall Takeaway Cup 8oz / 12oz / | Afida,Shop Planetware 8oz / 12oz / 16oz Double Wall Takeaway Cup - compostable & recyclable. Cases of 500. Free UK delivery over £100. Order at Afida.,"Compostable, Recyclable"
CUP-DW-8-2,Planetware,Double Wall Takeaway Cup,Cups & Lids,8oz,,,46.47,500,,"The Planetware 8oz Double Wall Takeaway Cup. Double wall construction provides built-in insulation, eliminating the need for a separate cup sleeve. The outer wall stays cool and comfortable to hold while keeping drinks hot. Suitable for coffee, tea, hot chocolate, and specialty drinks. Both compostable and recyclable, giving multiple end-of-life options. Designed for coffee shops, cafés, offices, events, and catering.",Planetware 8oz Double Wall Takeaway Cup. Compostable and recyclable.,"Planetware 8oz Double Wall Takeaway Cup - double wall insulation - no sleeve needed. Comfortable to hold with hot drinks. Compostable and recyclable. Designed for coffee shops, cafés, offices, events, and catering.",Planetware Double Wall Takeaway Cup 8oz Compostable | Afida,Shop Planetware 8oz Double Wall Takeaway Cup - compostable & recyclable. Cases of 500. Free UK delivery over £100. Order at Afida.,"Compostable, Recyclable"
CC-PN-4,,1 Flexy Pint Glasses to Brim,Cups & Lids,,,,103.50,1000,,"The 1 Flexy Pint Glasses to Brim. A transparent cup designed for beer, cider, cocktails, and soft drinks. Sturdy construction resists cracking during busy service. Suitable for indoor events, festivals, and outdoor bars. Fully recyclable through standard paper or plastic recycling streams.",1 Flexy Pint Glasses to Brim. Recyclable.,"1 Flexy Pint Glasses to Brim - transparent design for showcasing drinks. Sturdy and crack-resistant. Recyclable. Designed for coffee shops, cafés, offices, events, and catering.",1 Flexy Pint Glasses to Brim Recyclable | Afida,Shop 1 Flexy Pint Glasses to Brim - recyclable. Cases of 1000. Free UK delivery over £100. Order at Afida.,Recyclable
CC-PN-2,,Two Pint to Brim Cup,Cups & Lids,44oz,,,86.39,180,,"The 44oz Two Pint to Brim Cup. A transparent cup designed for beer, cider, cocktails, and soft drinks. Sturdy construction resists cracking during busy service. Suitable for indoor events, festivals, and outdoor bars. Fully recyclable through standard paper or plastic recycling streams.",44oz Two Pint to Brim Cup. Recyclable.,"44oz Two Pint to Brim Cup - transparent design for showcasing drinks. Sturdy and crack-resistant. Recyclable. Designed for coffee shops, cafés, offices, events, and catering.",Two Pint to Brim Cup 44oz Recyclable | Afida,Shop 44oz Two Pint to Brim Cup - recyclable. Cases of 180. Free UK delivery over £100. Order at Afida.,Recyclable
CC-PN,,Two Pint to Line Cup,Cups & Lids,44oz,,,45.20,120,,"The 44oz Two Pint to Line Cup. A transparent cup designed for beer, cider, cocktails, and soft drinks. Sturdy construction resists cracking during busy service. Suitable for indoor events, festivals, and outdoor bars. Fully recyclable through standard paper or plastic recycling streams.",44oz Two Pint to Line Cup. Recyclable.,"44oz Two Pint to Line Cup - transparent design for showcasing drinks. Sturdy and crack-resistant. Recyclable. Designed for coffee shops, cafés, offices, events, and catering.",Two Pint to Line Cup 44oz Recyclable | Afida,Shop 44oz Two Pint to Line Cup - recyclable. Cases of 120. Free UK delivery over £100. Order at Afida.,Recyclable
VEG-CUP-DW-10-KR,Vegware,Double Wall Hot Cup 89-Series,Cups & Lids,10 oz,Brown,Kraft,42.00,500,Case of 500: £42.00 | Pack of 25: £5.30,"The Vegware 10 oz brown kraft Double Wall Hot Cup 89-Series is constructed from kraft board, an unbleached paper with natural strength. Double wall construction provides built-in insulation, eliminating the need for a separate cup sleeve. The outer wall stays cool and comfortable to hold while keeping drinks hot. Suitable for coffee, tea, hot chocolate, and specialty drinks. Both compostable and recyclable, giving multiple end-of-life options. Designed for coffee shops, cafés, offices, events, and catering.",Vegware 10 oz brown kraft Double Wall Hot Cup 89-Series. Compostable and recyclable.,"Vegware 10 oz brown kraft Double Wall Hot Cup 89-Series - double wall insulation - no sleeve needed. Comfortable to hold with hot drinks. Compostable and recyclable. Designed for coffee shops, cafés, offices, events, and catering.",Vegware Double Wall Hot Cup 89-Series 10 oz | Afida,Shop Vegware 10 oz kraft Double Wall Hot Cup 89-Series - compostable & recyclable. Cases of 500. Free UK delivery over £100. Order at Afida.,"Compostable, Recyclable"
VEG-CUP-DW-10,Vegware,Feel Good Double Wall Hot Cup 89-Series,Cups & Lids,10 oz,,,42.00,500,Case of 500: £42.00 | Pack of 25: £5.30,"The Vegware 10 oz Feel Good Double Wall Hot Cup 89-Series. Double wall construction provides built-in insulation, eliminating the need for a separate cup sleeve. The outer wall stays cool and comfortable to hold while keeping drinks hot. Suitable for coffee, tea, hot chocolate, and specialty drinks. Both compostable and recyclable, giving multiple end-of-life options. Designed for coffee shops, cafés, offices, events, and catering.",Vegware 10 oz Feel Good Double Wall Hot Cup 89-Series. Compostable and recyclable.,"Vegware 10 oz Feel Good Double Wall Hot Cup 89-Series - double wall insulation - no sleeve needed. Comfortable to hold with hot drinks. Compostable and recyclable. Designed for coffee shops, cafés, offices, events, and catering.",Vegware Feel Good Double Wall Hot Cup 89-Series 10 | Afida,Shop Vegware 10 oz Feel Good Double Wall Hot Cup 89-Series - compostable & recyclable. Cases of 500. Free UK delivery over £100. Order at Afida.,"Compostable, Recyclable"
VEG-CC-10,Vegware,"Cold Cup, 89-Series",Cups & Lids,10oz,,Paper,73.04,1000,Case of 1000: £73.04 | Pack of 50: £8.78,"The Vegware 10oz paper Cold Cup, 89-Series is made from responsibly sourced paper. Crystal-clear construction showcases the colour and layers of iced drinks, smoothies, juices, and cocktails. Sturdy walls resist cracking and condensation. Compatible with flat and dome lids for versatile serving. Certified compostable - breaks down in industrial composting facilities. Designed for coffee shops, cafés, offices, events, and catering.","Vegware 10oz paper Cold Cup, 89-Series. Compostable.","Vegware 10oz paper Cold Cup, 89-Series - crystal-clear design showcases colourful drinks. Sturdy and crack-resistant. Compostable. Designed for coffee shops, cafés, offices, events, and catering.","Vegware Cold Cup, 89-Series 10oz Compostable | Afida","Shop Vegware 10oz paper Cold Cup, 89-Series - compostable. Cases of 1000. Free UK delivery over £100. Order at Afida.",Compostable
VEG-CUP-SW-10-KR,Vegware,"Single Wall Takeaway Hot Cup, 89 Series",Cups & Lids,,Brown,Kraft,79.04,1000,Case (1000): £79.04 | Pack (50): £7.63,"The Vegware brown kraft Single Wall Takeaway Hot Cup, 89 Series is constructed from kraft board, an unbleached paper with natural strength. A lightweight single wall hot cup for everyday use. The smooth interior lining keeps drinks hot and prevents leaking. Best paired with a cup sleeve for comfortable handling. Compatible with standard hot cup lids for takeaway service. Designed for coffee shops, cafés, offices, events, and catering.","Vegware brown kraft Single Wall Takeaway Hot Cup, 89 Series.","Vegware brown kraft Single Wall Takeaway Hot Cup, 89 Series - lightweight single wall design for everyday hot drinks. Pairs with a cup sleeve for comfort. Designed for coffee shops, cafés, offices, events, and catering.","Vegware Single Wall Takeaway Hot Cup, 89 Series | Afida","Shop Vegware kraft Single Wall Takeaway Hot Cup, 89 Series. Cases of 1000. Free UK delivery over £100. Order at Afida.",
VEG-CUP-SW-10,Vegware,"Single Wall Feel Good Takeaway Hot Cup, 89 Series",Cups & Lids,,,,79.04,1000,Case (1000): £79.04 | Pack (50): £9.63,"The Vegware Single Wall Feel Good Takeaway Hot Cup, 89 Series. A lightweight single wall hot cup for everyday use. The smooth interior lining keeps drinks hot and prevents leaking. Best paired with a cup sleeve for comfortable handling. Compatible with standard hot cup lids for takeaway service. Designed for coffee shops, cafés, offices, events, and catering.","Vegware Single Wall Feel Good Takeaway Hot Cup, 89 Series.","Vegware Single Wall Feel Good Takeaway Hot Cup, 89 Series - lightweight single wall design for everyday hot drinks. Pairs with a cup sleeve for comfort. Designed for coffee shops, cafés, offices, events, and catering.","Vegware Single Wall Feel Good Takeaway Hot Cup, 89 | Afida","Shop Vegware Single Wall Feel Good Takeaway Hot Cup, 89 Series. Cases of 1000. Free UK delivery over £100. Order at Afida.",
VEG-LID-16-WH-2,Vegware,Hot Cup Lid,Cups & Lids,90mm / 16oz,White,Fibre,34.25,1000,,"The Vegware 90mm / 16oz white fibre Hot Cup Lid is moulded from plant fibre, a sturdy and sustainable alternative to foam. A secure-fit lid designed for hot takeaway cups. Snaps firmly onto the cup rim to reduce spills during transport. Compatible with the specified cup series for a reliable, consistent fit. Certified compostable - breaks down in industrial composting facilities.",Vegware 90mm / 16oz white fibre Hot Cup Lid. Compostable.,"Vegware 90mm / 16oz white fibre Hot Cup Lid - secure-fit lid for hot cups. Reduces spills during takeaway service. Compostable. Designed for coffee shops, cafés, offices, events, and catering.",Vegware Hot Cup Lid 90mm / 16oz Compostable | Afida,Shop Vegware 90mm / 16oz fibre Hot Cup Lid - compostable. Cases of 1000. Free UK delivery over £100. Order at Afida.,Compostable
VEG-CUP-DW-12-BK,Vegware,Double Wall Takeaway Cup,Cups & Lids,12oz,Black,,49.62,500,,"The Vegware 12oz black Double Wall Takeaway Cup. Double wall construction provides built-in insulation, eliminating the need for a separate cup sleeve. The outer wall stays cool and comfortable to hold while keeping drinks hot. Suitable for coffee, tea, hot chocolate, and specialty drinks. Certified compostable - breaks down in industrial composting facilities. Designed for coffee shops, cafés, offices, events, and catering.",Vegware 12oz black Double Wall Takeaway Cup. Compostable.,"Vegware 12oz black Double Wall Takeaway Cup - double wall insulation - no sleeve needed. Comfortable to hold with hot drinks. Compostable. Designed for coffee shops, cafés, offices, events, and catering.",Vegware Double Wall Takeaway Cup 12oz Compostable | Afida,Shop Vegware 12oz Double Wall Takeaway Cup - compostable. Cases of 500. Free UK delivery over £100. Order at Afida.,Compostable
VEG-CUP-DW-12-GN,Vegware,"Double Wall Hot Takeaway Cup, 89 Series Green Britain",Cups & Lids,,,,70.50,500,Case (500): £70.50 | Pack (25): £7.00,"The Vegware Double Wall Hot Takeaway Cup, 89 Series Green Britain. Double wall construction provides built-in insulation, eliminating the need for a separate cup sleeve. The outer wall stays cool and comfortable to hold while keeping drinks hot. Suitable for coffee, tea, hot chocolate, and specialty drinks. Fully recyclable through standard paper or plastic recycling streams. Designed for coffee shops, cafés, offices, events, and catering.","Vegware Double Wall Hot Takeaway Cup, 89 Series Green Britain. Recyclable.","Vegware Double Wall Hot Takeaway Cup, 89 Series Green Britain - double wall insulation - no sleeve needed. Comfortable to hold with hot drinks. Recyclable. Designed for coffee shops, cafés, offices, events, and catering.","Vegware Double Wall Hot Takeaway Cup, 89 Series | Afida","Shop Vegware Double Wall Hot Takeaway Cup, 89 Series Green Britain - recyclable. Cases of 500. Free UK delivery over £100. Order at Afida.",Recyclable
VEG-CUP-DW-12-GN-2,Vegware,"Double Wall Hot Takeaway Cup, 89 Series Green Tree",Cups & Lids,,,,51.98,500,Case (500): £51.98 | Pack (25): £7.00,"The Vegware Double Wall Hot Takeaway Cup, 89 Series Green Tree. Double wall construction provides built-in insulation, eliminating the need for a separate cup sleeve. The outer wall stays cool and comfortable to hold while keeping drinks hot. Suitable for coffee, tea, hot chocolate, and specialty drinks. Fully recyclable through standard paper or plastic recycling streams. Designed for coffee shops, cafés, offices, events, and catering.","Vegware Double Wall Hot Takeaway Cup, 89 Series Green Tree. Recyclable.","Vegware Double Wall Hot Takeaway Cup, 89 Series Green Tree - double wall insulation - no sleeve needed. Comfortable to hold with hot drinks. Recyclable. Designed for coffee shops, cafés, offices, events, and catering.","Vegware Double Wall Hot Takeaway Cup, 89 Series | Afida","Shop Vegware Double Wall Hot Takeaway Cup, 89 Series Green Tree - recyclable. Cases of 500. Free UK delivery over £100. Order at Afida.",Recyclable
VEG-CUP-DW-12-WH-2,Vegware,"Double Wall Takeaway Hot Cup, 89 Series",Cups & Lids,,White,,51.30,500,,"The Vegware white Double Wall Takeaway Hot Cup, 89 Series. Double wall construction provides built-in insulation, eliminating the need for a separate cup sleeve. The outer wall stays cool and comfortable to hold while keeping drinks hot. Suitable for coffee, tea, hot chocolate, and specialty drinks. Fully recyclable through standard paper or plastic recycling streams. Designed for coffee shops, cafés, offices, events, and catering.","Vegware white Double Wall Takeaway Hot Cup, 89 Series. Recyclable.","Vegware white Double Wall Takeaway Hot Cup, 89 Series - double wall insulation - no sleeve needed. Comfortable to hold with hot drinks. Recyclable. Designed for coffee shops, cafés, offices, events, and catering.","Vegware Double Wall Takeaway Hot Cup, 89 Series | Afida","Shop Vegware Double Wall Takeaway Hot Cup, 89 Series - recyclable. Cases of 500. Free UK delivery over £100. Order at Afida.",Recyclable
VEG-CUP-DW-12,Vegware,Feel Good Double Wall Hot Cup,Cups & Lids,12oz,,,44.00,500,,"The Vegware 12oz Feel Good Double Wall Hot Cup. Double wall construction provides built-in insulation, eliminating the need for a separate cup sleeve. The outer wall stays cool and comfortable to hold while keeping drinks hot. Suitable for coffee, tea, hot chocolate, and specialty drinks. Certified compostable - breaks down in industrial composting facilities. Designed for coffee shops, cafés, offices, events, and catering.",Vegware 12oz Feel Good Double Wall Hot Cup. Compostable.,"Vegware 12oz Feel Good Double Wall Hot Cup - double wall insulation - no sleeve needed. Comfortable to hold with hot drinks. Compostable. Designed for coffee shops, cafés, offices, events, and catering.",Vegware Feel Good Double Wall Hot Cup 12oz | Afida,Shop Vegware 12oz Feel Good Double Wall Hot Cup - compostable. Cases of 500. Free UK delivery over £100. Order at Afida.,Compostable
